# Shock jump conditions data file
# Planet: Earth
# Gas model: Chemical-Rotational-Translational-Vibrational-Electronic-Equilibrium
# Model short: Chemical-RTVE
# Mechanism: airNASA9ions.yaml
# Upstream conditions: P1=1.013250e+04 Pa, rho1=1.203903e-01 kg/m³, T1=293.15 K, e1=-8.918731e+04 J/kg, a_s1=343.28 m/s
# Columns: M_1(-), w_1(m/s), P2(Pa), rho2(kg/m³), T2(K)
# Number of data points: 57
1.500000 5.149180e+02 2.493471e+04 2.244929e-01 386.871337
2.000000 6.865574e+02 4.571720e+04 3.228254e-01 493.260949
2.500000 8.581967e+02 7.257248e+04 4.070021e-01 621.069446
3.000000 1.029836e+03 1.056164e+05 4.774141e-01 770.550145
3.500000 1.201475e+03 1.449426e+05 5.367685e-01 940.532454
4.000000 1.373115e+03 1.906094e+05 5.875285e-01 1130.004545
4.500000 1.544754e+03 2.426587e+05 6.316274e-01 1338.134651
5.000000 1.716393e+03 3.011416e+05 6.707129e-01 1563.862187
5.500000 1.888033e+03 3.661345e+05 7.062964e-01 1805.559466
6.000000 2.059672e+03 4.377445e+05 7.397869e-01 2060.768231
6.500000 2.231312e+03 5.161467e+05 7.727755e-01 2325.076914
7.000000 2.402951e+03 6.016104e+05 8.072177e-01 2590.673126
7.500000 2.574590e+03 6.944183e+05 8.447933e-01 2847.737359
8.000000 2.746230e+03 7.946896e+05 8.858135e-01 3089.453951
8.500000 2.917869e+03 9.023201e+05 9.291404e-01 3314.893482
9.000000 3.089508e+03 1.017085e+06 9.730135e-01 3527.370478
9.500000 3.261148e+03 1.138734e+06 1.015690e+00 3731.892781
10.000000 3.432787e+03 1.267024e+06 1.055638e+00 3933.921556
10.500000 3.604426e+03 1.401714e+06 1.091507e+00 4139.244391
11.000000 3.776066e+03 1.542560e+06 1.122080e+00 4354.297156
11.500000 3.947705e+03 1.689291e+06 1.146297e+00 4586.408495
12.000000 4.119344e+03 1.841673e+06 1.163603e+00 4842.974283
12.500000 4.290984e+03 1.999655e+06 1.174770e+00 5127.692951
13.000000 4.462623e+03 2.163664e+06 1.182765e+00 5433.946799
13.500000 4.634262e+03 2.334490e+06 1.191747e+00 5744.049084
14.000000 4.805902e+03 2.512833e+06 1.204516e+00 6040.405805
14.500000 4.977541e+03 2.698955e+06 1.221575e+00 6314.560426
15.000000 5.149180e+03 2.892790e+06 1.242134e+00 6565.918504
15.500000 5.320820e+03 3.094175e+06 1.265128e+00 6797.292113
16.000000 5.492459e+03 3.302923e+06 1.289639e+00 7012.120715
16.500000 5.664098e+03 3.518879e+06 1.314956e+00 7213.563218
17.000000 5.835738e+03 3.741919e+06 1.340549e+00 7404.263343
17.500000 6.007377e+03 3.971943e+06 1.366026e+00 7586.373735
18.000000 6.179017e+03 4.208867e+06 1.391095e+00 7761.650638
18.500000 6.350656e+03 4.452623e+06 1.415530e+00 7931.548943
19.000000 6.522295e+03 4.703152e+06 1.439160e+00 8097.302265
19.500000 6.693935e+03 4.960408e+06 1.461848e+00 8259.984777
20.000000 6.865574e+03 5.224346e+06 1.483484e+00 8420.556316
20.500000 7.037213e+03 5.494897e+06 1.503968e+00 8579.900626
21.000000 7.208853e+03 5.772041e+06 1.523226e+00 8738.876831
21.500000 7.380492e+03 6.055723e+06 1.541181e+00 8898.330624
22.000000 7.552131e+03 6.345889e+06 1.557762e+00 9059.133964
22.500000 7.723771e+03 6.642486e+06 1.572898e+00 9222.213959
23.000000 7.895410e+03 6.945469e+06 1.586515e+00 9388.587779
23.500000 8.067049e+03 7.254758e+06 1.598529e+00 9559.399430
24.000000 8.238689e+03 7.570272e+06 1.608845e+00 9735.967484
24.500000 8.410328e+03 7.891896e+06 1.617348e+00 9919.842665
25.000000 8.581967e+03 8.219557e+06 1.623921e+00 10112.881290
25.500000 8.753607e+03 8.553100e+06 1.628411e+00 10317.309491
26.000000 8.925246e+03 8.892380e+06 1.630645e+00 10535.842077
26.500000 9.096885e+03 9.237205e+06 1.630443e+00 10771.693298
27.000000 9.268525e+03 9.587343e+06 1.627610e+00 11028.627501
27.500000 9.440164e+03 9.942602e+06 1.622011e+00 11310.715746
28.000000 9.611803e+03 1.030277e+07 1.613613e+00 11621.785578
28.500000 9.783443e+03 1.066774e+07 1.602604e+00 11964.324437
29.000000 9.955082e+03 1.103757e+07 1.589491e+00 12337.918710
29.500000 1.012672e+04 1.141258e+07 1.575115e+00 12738.090007
