# Shock jump conditions data file
# Planet: Mars
# Gas model: Chemical-Rotational-Translational-Vibrational-Electronic-Equilibrium
# Model short: Chemical-RTVE
# Mechanism: airNASA9ions.yaml
# Upstream conditions: P1=1.013250e+04 Pa, rho1=1.808103e-01 kg/m³, T1=293.15 K, e1=-8.704944e+06 J/kg, a_s1=269.47 m/s
# Columns: M_1(-), w_1(m/s), P2(Pa), rho2(kg/m³), T2(K)
# Number of data points: 57
1.500000 4.042064e+02 2.465235e+04 3.555819e-01 362.673001
2.000000 5.389419e+02 4.510405e+04 5.411850e-01 435.979738
2.500000 6.736774e+02 7.157824e+04 7.197780e-01 520.210392
3.000000 8.084129e+02 1.041365e+05 8.842873e-01 616.035835
3.500000 9.431484e+02 1.428212e+05 1.033157e+00 723.141396
4.000000 1.077884e+03 1.876574e+05 1.167031e+00 841.162248
4.500000 1.212619e+03 2.386589e+05 1.287225e+00 969.883577
5.000000 1.347355e+03 2.958295e+05 1.395119e+00 1109.242956
5.500000 1.482090e+03 3.591679e+05 1.491988e+00 1259.298101
6.000000 1.616826e+03 4.286709e+05 1.579030e+00 1420.124341
6.500000 1.751561e+03 5.043581e+05 1.657985e+00 1591.154339
7.000000 1.886297e+03 5.863482e+05 1.732848e+00 1768.919026
7.500000 2.021032e+03 6.748727e+05 1.809591e+00 1946.072208
8.000000 2.155768e+03 7.701375e+05 1.892467e+00 2115.159266
8.500000 2.290503e+03 8.722307e+05 1.982718e+00 2271.472788
9.000000 2.425239e+03 9.811250e+05 2.078916e+00 2414.154785
9.500000 2.559974e+03 1.096720e+06 2.178475e+00 2544.817503
10.000000 2.694710e+03 1.218909e+06 2.278841e+00 2665.841937
10.500000 2.829445e+03 1.347591e+06 2.377918e+00 2779.477610
11.000000 2.964181e+03 1.482696e+06 2.474077e+00 2887.636495
11.500000 3.098916e+03 1.624158e+06 2.566086e+00 2991.845715
12.000000 3.233652e+03 1.771924e+06 2.653005e+00 3093.346463
12.500000 3.368387e+03 1.925946e+06 2.734124e+00 3193.163123
13.000000 3.503123e+03 2.086186e+06 2.808908e+00 3292.163545
13.500000 3.637858e+03 2.252595e+06 2.876949e+00 3391.098837
14.000000 3.772593e+03 2.425139e+06 2.937975e+00 3490.635838
14.500000 3.907329e+03 2.603773e+06 2.991795e+00 3591.379697
15.000000 4.042064e+03 2.788463e+06 3.038317e+00 3693.883405
15.500000 4.176800e+03 2.979165e+06 3.077524e+00 3798.656893
16.000000 4.311535e+03 3.175835e+06 3.109467e+00 3906.176484
16.500000 4.446271e+03 3.378424e+06 3.134255e+00 4016.897110
17.000000 4.581006e+03 3.586892e+06 3.152060e+00 4131.275355
17.500000 4.715742e+03 3.801185e+06 3.163061e+00 4249.806298
18.000000 4.850477e+03 4.021247e+06 3.167438e+00 4373.083037
18.500000 4.985213e+03 4.247010e+06 3.165320e+00 4501.881594
19.000000 5.119948e+03 4.478395e+06 3.156748e+00 4637.278301
19.500000 5.254684e+03 4.715285e+06 3.141615e+00 4780.809150
20.000000 5.389419e+03 4.957531e+06 3.119613e+00 4934.698322
20.500000 5.524155e+03 5.204948e+06 3.090188e+00 5102.176944
21.000000 5.658890e+03 5.457256e+06 3.052461e+00 5287.940093
21.500000 5.793626e+03 5.714084e+06 3.005253e+00 5498.707083
22.000000 5.928361e+03 5.974956e+06 2.947336e+00 5743.531999
22.500000 6.063097e+03 6.239406e+06 2.878437e+00 6032.399174
23.000000 6.197832e+03 6.507398e+06 2.801745e+00 6369.427263
23.500000 6.332568e+03 6.780016e+06 2.726354e+00 6740.177424
24.000000 6.467303e+03 7.059617e+06 2.664945e+00 7107.585812
24.500000 6.602039e+03 7.348254e+06 2.624988e+00 7435.547706
25.000000 6.736774e+03 7.646457e+06 2.604774e+00 7713.161947
25.500000 6.871510e+03 7.953566e+06 2.598665e+00 7947.806360
26.000000 7.006245e+03 8.268820e+06 2.601617e+00 8150.733816
26.500000 7.140981e+03 8.591635e+06 2.610184e+00 8331.106072
27.000000 7.275716e+03 8.921528e+06 2.622149e+00 8495.386101
27.500000 7.410451e+03 9.258254e+06 2.636084e+00 8648.112803
28.000000 7.545187e+03 9.601586e+06 2.651027e+00 8792.486276
28.500000 7.679922e+03 9.951370e+06 2.666325e+00 8930.833212
29.000000 7.814658e+03 1.030748e+07 2.681502e+00 9064.934111
29.500000 7.949393e+03 1.066984e+07 2.696208e+00 9196.199006
