# Shock jump conditions data file
# Planet: Earth
# Gas model: Chemical-Rotational-Translational-Vibrational-Equilibrium
# Model short: Chemical-RTV
# Mechanism: airNASA9noions.yaml
# Upstream conditions: P1=1.013250e+04 Pa, rho1=1.203903e-01 kg/m³, T1=293.15 K, e1=-8.918731e+04 J/kg, a_s1=343.28 m/s
# Columns: M_1(-), w_1(m/s), P2(Pa), rho2(kg/m³), T2(K)
# Number of data points: 57
1.500000 5.149180e+02 2.493471e+04 2.244929e-01 386.871337
2.000000 6.865574e+02 4.571720e+04 3.228254e-01 493.260949
2.500000 8.581967e+02 7.257248e+04 4.070021e-01 621.069446
3.000000 1.029836e+03 1.056164e+05 4.774141e-01 770.550145
3.500000 1.201475e+03 1.449426e+05 5.367685e-01 940.532454
4.000000 1.373115e+03 1.906094e+05 5.875285e-01 1130.004545
4.500000 1.544754e+03 2.426587e+05 6.316274e-01 1338.134651
5.000000 1.716393e+03 3.011416e+05 6.707129e-01 1563.862187
5.500000 1.888033e+03 3.661345e+05 7.062964e-01 1805.559466
6.000000 2.059672e+03 4.377445e+05 7.397869e-01 2060.768231
6.500000 2.231312e+03 5.161467e+05 7.727755e-01 2325.076915
7.000000 2.402951e+03 6.016104e+05 8.072177e-01 2590.673135
7.500000 2.574590e+03 6.944183e+05 8.447932e-01 2847.737426
8.000000 2.746230e+03 7.946896e+05 8.858134e-01 3089.454252
8.500000 2.917869e+03 9.023201e+05 9.291401e-01 3314.894445
9.000000 3.089508e+03 1.017085e+06 9.730127e-01 3527.372954
9.500000 3.261148e+03 1.138733e+06 1.015688e+00 3731.898326
10.000000 3.432787e+03 1.267023e+06 1.055634e+00 3933.932990
10.500000 3.604426e+03 1.401713e+06 1.091500e+00 4139.266962
11.000000 3.776066e+03 1.542558e+06 1.122066e+00 4354.341052
11.500000 3.947705e+03 1.689287e+06 1.146271e+00 4586.494152
12.000000 4.119344e+03 1.841664e+06 1.163555e+00 4843.142181
12.500000 4.290984e+03 1.999638e+06 1.174684e+00 5128.014085
13.000000 4.462623e+03 2.163635e+06 1.182624e+00 5434.512817
13.500000 4.634262e+03 2.334445e+06 1.191542e+00 5744.929264
14.000000 4.805902e+03 2.512770e+06 1.204243e+00 6041.618391
14.500000 4.977541e+03 2.698874e+06 1.221237e+00 6316.090072
15.000000 5.149180e+03 2.892690e+06 1.241732e+00 6567.743014
15.500000 5.320820e+03 3.094055e+06 1.264662e+00 6799.395676
16.000000 5.492459e+03 3.302783e+06 1.289106e+00 7014.498959
16.500000 5.664098e+03 3.518716e+06 1.314350e+00 7216.223974
17.000000 5.835738e+03 3.741731e+06 1.339863e+00 7407.226984
17.500000 6.007377e+03 3.971725e+06 1.365251e+00 7589.673401
18.000000 6.179017e+03 4.208616e+06 1.390217e+00 7765.334050
18.500000 6.350656e+03 4.452332e+06 1.414535e+00 7935.679886
19.000000 6.522295e+03 4.702815e+06 1.438029e+00 8101.963741
19.500000 6.693935e+03 4.960016e+06 1.460557e+00 8265.281652
20.000000 6.865574e+03 5.223885e+06 1.482004e+00 8426.620192
20.500000 7.037213e+03 5.494357e+06 1.502267e+00 8586.897580
21.000000 7.208853e+03 5.771405e+06 1.521262e+00 8747.014346
21.500000 7.380492e+03 6.054967e+06 1.538905e+00 8907.870039
22.000000 7.552131e+03 6.344983e+06 1.555112e+00 9070.406812
22.500000 7.723771e+03 6.641398e+06 1.569799e+00 9235.645944
23.000000 7.895410e+03 6.944159e+06 1.582877e+00 9404.732127
23.500000 8.067049e+03 7.253169e+06 1.594234e+00 9578.987159
24.000000 8.238689e+03 7.568324e+06 1.603744e+00 9759.979682
24.500000 8.410328e+03 7.889497e+06 1.611248e+00 9949.633662
25.000000 8.581967e+03 8.216568e+06 1.616561e+00 10150.344078
25.500000 8.753607e+03 8.549324e+06 1.619436e+00 10365.175264
26.000000 8.925246e+03 8.887539e+06 1.619567e+00 10598.115649
26.500000 9.096885e+03 9.230879e+06 1.616557e+00 10854.445698
27.000000 9.268525e+03 9.578934e+06 1.609913e+00 11141.196541
27.500000 9.440164e+03 9.931171e+06 1.599056e+00 11467.581856
28.000000 9.611803e+03 1.028689e+07 1.583322e+00 11845.496815
28.500000 9.783443e+03 1.064533e+07 1.562171e+00 12288.693719
29.000000 9.955082e+03 1.100578e+07 1.535475e+00 12810.259886
29.500000 1.012672e+04 1.136790e+07 1.503914e+00 13417.491209
