# Shock jump conditions data file
# Planet: Mars
# Gas model: Chemical-Rotational-Translational-Vibrational-Equilibrium
# Model short: Chemical-RTV
# Mechanism: airNASA9noions.yaml
# Upstream conditions: P1=1.013250e+04 Pa, rho1=1.808103e-01 kg/m³, T1=293.15 K, e1=-8.704944e+06 J/kg, a_s1=269.47 m/s
# Columns: M_1(-), w_1(m/s), P2(Pa), rho2(kg/m³), T2(K)
# Number of data points: 57
1.500000 4.042064e+02 2.465235e+04 3.555819e-01 362.673001
2.000000 5.389419e+02 4.510405e+04 5.411850e-01 435.979738
2.500000 6.736774e+02 7.157824e+04 7.197780e-01 520.210392
3.000000 8.084129e+02 1.041365e+05 8.842873e-01 616.035835
3.500000 9.431484e+02 1.428212e+05 1.033157e+00 723.141396
4.000000 1.077884e+03 1.876574e+05 1.167031e+00 841.162248
4.500000 1.212619e+03 2.386589e+05 1.287225e+00 969.883577
5.000000 1.347355e+03 2.958295e+05 1.395119e+00 1109.242961
5.500000 1.482090e+03 3.591679e+05 1.491988e+00 1259.298105
6.000000 1.616826e+03 4.286709e+05 1.579030e+00 1420.124344
6.500000 1.751561e+03 5.043581e+05 1.657985e+00 1591.154339
7.000000 1.886297e+03 5.863482e+05 1.732848e+00 1768.919026
7.500000 2.021032e+03 6.748727e+05 1.809591e+00 1946.072208
8.000000 2.155768e+03 7.701375e+05 1.892467e+00 2115.159266
8.500000 2.290503e+03 8.722307e+05 1.982718e+00 2271.472788
9.000000 2.425239e+03 9.811250e+05 2.078916e+00 2414.154785
9.500000 2.559974e+03 1.096720e+06 2.178475e+00 2544.817504
10.000000 2.694710e+03 1.218909e+06 2.278841e+00 2665.841939
10.500000 2.829445e+03 1.347591e+06 2.377918e+00 2779.477613
11.000000 2.964181e+03 1.482696e+06 2.474077e+00 2887.636502
11.500000 3.098916e+03 1.624158e+06 2.566086e+00 2991.845725
12.000000 3.233652e+03 1.771924e+06 2.653005e+00 3093.346460
12.500000 3.368387e+03 1.925946e+06 2.734124e+00 3193.163170
13.000000 3.503123e+03 2.086186e+06 2.808907e+00 3292.163607
13.500000 3.637858e+03 2.252595e+06 2.876949e+00 3391.098952
14.000000 3.772593e+03 2.425139e+06 2.937975e+00 3490.636059
14.500000 3.907329e+03 2.603773e+06 2.991795e+00 3591.380053
15.000000 4.042064e+03 2.788463e+06 3.038317e+00 3693.883965
15.500000 4.176800e+03 2.979165e+06 3.077523e+00 3798.657773
16.000000 4.311535e+03 3.175835e+06 3.109465e+00 3906.177852
16.500000 4.446271e+03 3.378423e+06 3.134253e+00 4016.899195
17.000000 4.581006e+03 3.586891e+06 3.152056e+00 4131.278525
17.500000 4.715742e+03 3.801185e+06 3.163056e+00 4249.811087
18.000000 4.850477e+03 4.021246e+06 3.167430e+00 4373.090240
18.500000 4.985213e+03 4.247009e+06 3.165309e+00 4501.892404
19.000000 5.119948e+03 4.478393e+06 3.156732e+00 4637.294559
19.500000 5.254684e+03 4.715283e+06 3.141592e+00 4780.833807
20.000000 5.389419e+03 4.957528e+06 3.119579e+00 4934.736098
20.500000 5.524155e+03 5.204943e+06 3.090139e+00 5102.236160
21.000000 5.658890e+03 5.457248e+06 3.052388e+00 5288.035886
21.500000 5.793626e+03 5.714070e+06 3.005141e+00 5498.868496
22.000000 5.928361e+03 5.974932e+06 2.947160e+00 5743.817115
22.500000 6.063097e+03 6.239365e+06 2.878152e+00 6032.924341
23.000000 6.197832e+03 6.507324e+06 2.801280e+00 6370.403102
23.500000 6.332568e+03 6.779886e+06 2.725623e+00 6741.909083
24.000000 6.467303e+03 7.059399e+06 2.663877e+00 7110.369139
24.500000 6.602039e+03 7.347952e+06 2.623527e+00 7439.645693
25.000000 6.736774e+03 7.646035e+06 2.602919e+00 7718.621056
25.500000 6.871510e+03 7.953043e+06 2.596416e+00 7954.662100
26.000000 7.006245e+03 8.268199e+06 2.598978e+00 8158.984848
26.500000 7.140981e+03 8.590896e+06 2.607154e+00 8340.750877
27.000000 7.275716e+03 8.920680e+06 2.618714e+00 8506.481759
27.500000 7.410451e+03 9.257254e+06 2.632216e+00 8660.732999
28.000000 7.545187e+03 9.600437e+06 2.646700e+00 8806.744804
28.500000 7.679922e+03 9.950068e+06 2.661499e+00 8946.888211
29.000000 7.814658e+03 1.030598e+07 2.676124e+00 9082.968775
29.500000 7.949393e+03 1.066812e+07 2.690220e+00 9216.443677
