# Shock jump conditions data file
# Planet: Earth
# Gas model: Frozen-Rotational-Translational-Vibrational-Equilibrium
# Model short: Frozen-RTV
# Mechanism: airNASA9noions.yaml
# Upstream conditions: P1=1.013250e+04 Pa, rho1=1.203903e-01 kg/m³, T1=293.15 K, e1=-8.918731e+04 J/kg, a_s1=343.28 m/s
# Columns: M_1(-), w_1(m/s), P2(Pa), rho2(kg/m³), T2(K)
# Number of data points: 57
1.500000 5.149180e+02 2.493471e+04 2.244929e-01 386.871337
2.000000 6.865574e+02 4.571720e+04 3.228254e-01 493.260950
2.500000 8.581967e+02 7.257247e+04 4.070020e-01 621.069544
3.000000 1.029836e+03 1.056162e+05 4.774114e-01 770.553199
3.500000 1.201475e+03 1.449403e+05 5.367375e-01 940.572132
4.000000 1.373115e+03 1.905943e+05 5.873380e-01 1130.281525
4.500000 1.544754e+03 2.425932e+05 6.308725e-01 1339.374091
5.000000 1.716393e+03 3.009343e+05 6.685355e-01 1567.877372
5.500000 1.888033e+03 3.656132e+05 7.012985e-01 1815.866030
6.000000 2.059672e+03 4.366261e+05 7.299601e-01 2083.413121
6.500000 2.231312e+03 5.139700e+05 7.551787e-01 2370.570712
7.000000 2.402951e+03 5.976484e+05 7.775044e-01 2677.365905
7.500000 2.574590e+03 6.876576e+05 7.973813e-01 3003.800156
8.000000 2.746230e+03 7.839971e+05 8.151790e-01 3349.857363
8.500000 2.917869e+03 8.866722e+05 8.312078e-01 3715.508958
9.000000 3.089508e+03 9.956857e+05 8.457226e-01 4100.711213
9.500000 3.261148e+03 1.111036e+06 8.589352e-01 4505.394007
10.000000 3.432787e+03 1.232732e+06 8.710365e-01 4929.436221
10.500000 3.604426e+03 1.360784e+06 8.822025e-01 5372.614282
11.000000 3.776066e+03 1.495210e+06 8.926095e-01 5834.523388
11.500000 3.947705e+03 1.636050e+06 9.024617e-01 6314.408788
12.000000 4.119344e+03 1.783343e+06 9.119497e-01 6811.283440
12.500000 4.290984e+03 1.937134e+06 9.212205e-01 7324.213273
13.000000 4.462623e+03 2.097502e+06 9.304923e-01 7851.533992
13.500000 4.634262e+03 2.264555e+06 9.400420e-01 8390.742867
14.000000 4.805902e+03 2.438434e+06 9.501663e-01 8938.738338
14.500000 4.977541e+03 2.619290e+06 9.611233e-01 9492.255067
15.000000 5.149180e+03 2.807253e+06 9.730901e-01 10048.316822
15.500000 5.320820e+03 3.002421e+06 9.861484e-01 10604.595524
16.000000 5.492459e+03 3.204854e+06 1.000288e+00 11159.589682
16.500000 5.664098e+03 3.414566e+06 1.015419e+00 11712.642511
17.000000 5.835738e+03 3.631557e+06 1.031408e+00 12263.861060
17.500000 6.007377e+03 3.855785e+06 1.048077e+00 12813.986112
18.000000 6.179017e+03 4.087171e+06 1.065228e+00 13364.268900
18.500000 6.350656e+03 4.325644e+06 1.082653e+00 13916.378068
19.000000 6.522295e+03 4.571131e+06 1.100145e+00 14472.334249
19.500000 6.693935e+03 4.823498e+06 1.117477e+00 15034.477725
20.000000 6.865574e+03 5.082638e+06 1.134429e+00 15605.469818
20.500000 7.037213e+03 5.348420e+06 1.150771e+00 16188.309756
21.000000 7.208853e+03 5.620694e+06 1.166268e+00 16786.361190
21.500000 7.380492e+03 5.899316e+06 1.180683e+00 17403.367723
22.000000 7.552131e+03 6.184087e+06 1.193774e+00 18043.405540
22.500000 7.723771e+03 6.474853e+06 1.205326e+00 18710.703882
23.000000 7.895410e+03 6.771448e+06 1.215179e+00 19409.138010
23.500000 8.067049e+03 7.073763e+06 1.223296e+00 20141.125652
24.000000 8.238689e+03 7.381856e+06 1.229898e+00 20905.539959
24.500000 8.410328e+03 7.696060e+06 1.235608e+00 21694.649711
25.000000 8.581967e+03 8.017110e+06 1.241552e+00 22491.464553
25.500000 8.753607e+03 8.346070e+06 1.249199e+00 23271.007586
26.000000 8.925246e+03 8.684034e+06 1.259902e+00 24007.648083
26.500000 9.096885e+03 9.031714e+06 1.274454e+00 24683.737519
27.000000 9.268525e+03 9.389358e+06 1.292974e+00 25293.623807
27.500000 9.440164e+03 9.756809e+06 1.315161e+00 25840.068088
28.000000 9.611803e+03 1.013374e+07 1.340546e+00 26330.122423
28.500000 9.783443e+03 1.051978e+07 1.368653e+00 26771.849228
29.000000 9.955082e+03 1.091459e+07 1.399080e+00 27172.506773
29.500000 1.012672e+04 1.131788e+07 1.431471e+00 27538.964307
