# Shock jump conditions data file
# Planet: Mars
# Gas model: Frozen-Rotational-Translational-Vibrational-Equilibrium
# Model short: Frozen-RTV
# Mechanism: airNASA9noions.yaml
# Upstream conditions: P1=1.013250e+04 Pa, rho1=1.808103e-01 kg/m³, T1=293.15 K, e1=-8.704944e+06 J/kg, a_s1=269.47 m/s
# Columns: M_1(-), w_1(m/s), P2(Pa), rho2(kg/m³), T2(K)
# Number of data points: 57
1.500000 4.042064e+02 2.465235e+04 3.555819e-01 362.673001
2.000000 5.389419e+02 4.510405e+04 5.411850e-01 435.979738
2.500000 6.736774e+02 7.157824e+04 7.197780e-01 520.210392
3.000000 8.084129e+02 1.041365e+05 8.842873e-01 616.035836
3.500000 9.431484e+02 1.428212e+05 1.033156e+00 723.141408
4.000000 1.077884e+03 1.876574e+05 1.167031e+00 841.162351
4.500000 1.212619e+03 2.386589e+05 1.287224e+00 969.884148
5.000000 1.347355e+03 2.958294e+05 1.395116e+00 1109.245388
5.500000 1.482090e+03 3.591674e+05 1.491973e+00 1259.309872
6.000000 1.616826e+03 4.286668e+05 1.578915e+00 1420.226954
6.500000 1.751561e+03 5.043222e+05 1.657002e+00 1592.141127
7.000000 1.886297e+03 5.861279e+05 1.727207e+00 1775.189282
7.500000 2.021032e+03 6.740824e+05 1.790414e+00 1969.500156
8.000000 2.155768e+03 7.681784e+05 1.847400e+00 2175.192149
8.500000 2.290503e+03 8.684102e+05 1.898860e+00 2392.371501
9.000000 2.425239e+03 9.747795e+05 1.945425e+00 2621.128925
9.500000 2.559974e+03 1.087276e+06 1.987640e+00 2861.533422
10.000000 2.694710e+03 1.205907e+06 2.026020e+00 3113.626597
10.500000 2.829445e+03 1.330668e+06 2.061020e+00 3377.411800
11.000000 2.964181e+03 1.461561e+06 2.093064e+00 3652.842530
11.500000 3.098916e+03 1.598592e+06 2.122557e+00 3939.806651
12.000000 3.233652e+03 1.741769e+06 2.149884e+00 4238.107445
12.500000 3.368387e+03 1.891107e+06 2.175432e+00 4547.441571
13.000000 3.503123e+03 2.046618e+06 2.199575e+00 4867.373679
13.500000 3.637858e+03 2.208328e+06 2.222703e+00 5197.310912
14.000000 3.772593e+03 2.376272e+06 2.245222e+00 5536.478013
14.500000 3.907329e+03 2.550489e+06 2.267540e+00 5883.896529
15.000000 4.042064e+03 2.731025e+06 2.290072e+00 6238.399639
15.500000 4.176800e+03 2.917921e+06 2.313091e+00 6598.988931
16.000000 4.311535e+03 3.111213e+06 2.336807e+00 6964.716761
16.500000 4.446271e+03 3.310943e+06 2.361421e+00 7334.572700
17.000000 4.581006e+03 3.517137e+06 2.387055e+00 7707.674994
17.500000 4.715742e+03 3.729834e+06 2.413757e+00 8083.372849
18.000000 4.850477e+03 3.949051e+06 2.441481e+00 8461.275591
18.500000 4.985213e+03 4.174772e+06 2.470110e+00 8841.239140
19.000000 5.119948e+03 4.407002e+06 2.499493e+00 9223.332666
19.500000 5.254684e+03 4.645743e+06 2.529460e+00 9607.797046
20.000000 5.389419e+03 4.890966e+06 2.559812e+00 9995.005867
20.500000 5.524155e+03 5.142654e+06 2.590355e+00 10385.432932
21.000000 5.658890e+03 5.400784e+06 2.620895e+00 10779.625855
21.500000 5.793626e+03 5.665331e+06 2.651249e+00 11178.185719
22.000000 5.928361e+03 4.673052e+06 6.791743e-01 35992.823111
22.500000 6.063097e+03 5.010223e+06 7.298241e-01 35911.653631
23.000000 6.197832e+03 5.347038e+06 7.806942e-01 35828.523616
23.500000 6.332568e+03 5.685265e+06 8.320601e-01 35743.131292
24.000000 6.467303e+03 6.026093e+06 8.841216e-01 35654.997142
24.500000 6.602039e+03 6.370363e+06 9.370166e-01 35564.232537
25.000000 6.736774e+03 6.718695e+06 9.908861e-01 35469.719884
25.500000 6.871510e+03 7.071557e+06 1.045826e+00 35371.376132
26.000000 7.006245e+03 7.429311e+06 1.101922e+00 35269.072661
26.500000 7.140981e+03 7.792250e+06 1.159276e+00 35161.936353
27.000000 7.275716e+03 8.160612e+06 1.217955e+00 35049.990252
27.500000 7.410451e+03 8.534595e+06 1.278051e+00 34932.637272
28.000000 7.545187e+03 8.914365e+06 1.339670e+00 34808.797335
28.500000 7.679922e+03 9.300072e+06 1.402883e+00 34678.577743
29.000000 7.814658e+03 9.691848e+06 1.467804e+00 34541.010707
29.500000 7.949393e+03 1.008981e+07 1.534576e+00 34394.656076
